Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"ALAN ALLMAN";FR0000062465;AAA;"Euronext Paris";EUR;1.51;1.52;1.40;1.50;"03/08/2026 16:52";CET;1954;2942.20;1.50;03/08/2026
"ALPES (COMPAGNIE)";FR0000053324;CDA;"Euronext Paris";EUR;20.50;20.65;20.40;20.65;"03/08/2026 17:35";CET;31145;640338.98;20.65;03/08/2026
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;16.205;16.73;16.12;16.545;"03/08/2026 17:35";CET;1512183;25005201.27;16.545;03/08/2026
ALTAMIR;FR0000053837;LTA;"Euronext Paris";EUR;24.00;24.00;23.00;23.00;"03/08/2026 17:29";CET;1549;36405.70;23.00;03/08/2026
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;101.60;102.80;100.60;100.80;"03/08/2026 17:35";CET;7875;799246.30;100.80;03/08/2026
ALTAREIT;FR0000039216;AREIT;"Euronext Paris";EUR;585.00;585.00;585.00;585.00;"03/08/2026 09:00";CET;1;585.00;585.00;03/08/2026
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;76.10;80.15;76.10;78.90;"03/08/2026 17:35";CET;78684;6196162.83;78.90;03/08/2026
ALTHEORA;FR0000061244;ALORA;"Euronext Growth Paris";EUR;0.391;0.415;0.39;0.39;"03/08/2026 17:29";CET;2873;1186.66;0.39;03/08/2026
ALVEEN;FR0013253812;MLALV;"Euronext Access Paris";EUR;0.103;0.103;0.103;0.103;"10/09/2025 11:30";CET;193;19.88;0.103;03/08/2026
"AMA CORPORATION";GB00BNKGZC51;ALAMA;"Euronext Growth Paris";EUR;0.1355;0.1445;0.1265;0.1265;"03/08/2026 17:29";CET;10761;1443.80;0.1265;03/08/2026
"AMATHEON AGRI";NL0010273694;MLAAH;"Euronext Access Paris";EUR;0.0025;0.003;0.0025;0.003;"03/08/2026 17:00";CET;210001;630.00;0.003;03/08/2026
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;0.72;0.735;0.707;0.73;"03/08/2026 17:35";CET;138352;100118.11;0.73;03/08/2026
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;95.05;97.00;95.05;96.65;"03/08/2026 17:35";CET;184769;17794663.05;96.65;03/08/2026
"ANDINO GLOBAL";ES0105744009;MLAIG;"Euronext Access Paris";EUR;2.82;2.82;2.82;2.82;"03/06/2026 16:30";CET;3;8.46;2.82;03/08/2026
"ANTIN INFRA PARTN";FR0014005AL0;ANTIN;"Euronext Paris";EUR;8.80;8.93;8.75;8.92;"03/08/2026 17:35";CET;20185;179198.99;8.92;03/08/2026
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;45.84;47.06;45.22;46.42;"03/08/2026 17:35";CET;87019;4029975.99;46.42;03/08/2026
"APEX CRITICAL";CA03753D1042;MLAPX;"Euronext Access Paris";EUR;0.908;0.908;0.908;0.908;"22/07/2026 16:30";CET;400;363.19;0.908;03/08/2026
"APODACA INVERSIONE";ES0105658001;MLASO;"Euronext Access Paris";EUR;70.00;70.00;70.00;70.00;"07/11/2022 00:00";CET;-;-;69.50;03/08/2026
"APOLLO MINERALS";AU000000AON7;ALAON;"Euronext Growth Paris";EUR;-;-;-;0.0315;"30/06/2026 00:00";CET;-;-;0.0315;03/08/2026
